Category,count
"Media, Music & Books > Books > English Books",841
Fashion > Men > Clothing,555
Fashion > Men > Shoes,495
Fashion > Women > Clothing,478
Bags and Travel > Women Bags,429
Mobiles & Tablets,425
Home Appliances > Appliances Parts & Accessories,378
Home Appliances > Small Kitchen Appliances > Food Preparation,333
Home Appliances > Kitchen Appliances,326
Computers & Laptops > Computer Accessories > Keyboards,317
Computers & Laptops > Laptops,287
Computers & Laptops > Computer Accessories,282
Home Appliances > Cooling & Heating > Air Conditioning,272
"TV, Audio / Video, Gaming & Wearables > Televisions",224
Watches Sunglasses Jewellery > Eyewear > Sunglasses,210
Toys & Games > Remote Control & Play Vehicles,209
Computers & Laptops > Storage,173
Toys & Games > Learning & Education > Reading & Writing,169
Computers & Laptops > Software,145
Watches Sunglasses Jewellery > Eyewear > Eyeglasses > Unisex,125
Toys & Games > Remote Control & Play Vehicles > RC Vehicles & Batteries,120
Toys & Games > Remote Control & Play Vehicles > Play Trains & Railway Sets,92
Toys & Games > Remote Control & Play Vehicles > Play Vehicles,86
Watches Sunglasses Jewellery > Eyewear > Eyeglasses > Men,83
"TV, Audio / Video, Gaming & Wearables > Audio > Headphones & Headsets",76
Mother & Baby > Baby Safety,59
Digital Goods > Games Gift Cards & Software,58
Watches Sunglasses Jewellery > Eyewear > Eyeglasses > Women,57
Toys & Games > Learning & Education > Electronics,53
Sports & Outdoors > Shoes & Clothing > Unisex > Accessories,50
Kitchen & Dining > Kitchen Storage & Accessories,46
Motors > Automotive > Auto Tools & Equipment > Diagnostic & Test Tools,44
Watches Sunglasses Jewellery > Eyewear > Accessories,33
Furniture & Decor > Home Decor,32
Toys & Games > Remote Control & Play Vehicles > Drones & Accessories,24
Bags and Travel > Women Bags > Wallets & Accessories,23
"TV, Audio / Video, Gaming & Wearables > Audio",21
Bags and Travel > Bags > Weekender Bags,21
Fashion > Women > Shoes,21
Sports & Outdoors > Shoes & Clothing > Men > Accessories,20
Computers & Laptops > Computer Accessories > PC Audio,19
Stationery & Craft > School & Office Equipment,18
Bags and Travel > Men Bags > Backpacks,17
Mobiles & Tablets > Mobile Accessories,16
Kitchen & Dining > Kitchen & Table Linen,16
Computers & Laptops > Computer Accessories > Mac Accessories,16
Bags and Travel > Laptop Bags & Cases,15
Home Appliances > Cooling & Heating > Fan,15
"TV, Audio / Video, Gaming & Wearables > Wearable Technology",15
